Title,date,img_url,url
"<h4 class=""media-block__title media-block__title--size-2"" title=""Радіо Свобода подало до суду на USAGM, щоб заблокувати припинення федерального гранту"">
Радіо Свобода подало до суду на USAGM, щоб заблокувати припинення федерального гранту
</h4>","<span class=""date date--mb date--size-2"">23:29, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Зеленський підтвердив інформацію щодо обміну полоненими, про який заявив Кремль "">
Зеленський підтвердив інформацію щодо обміну полоненими, про який заявив Кремль
</h4>","<span class=""date date--mb date--size-3"">23:06, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""В Угорщині ухвалили закон про заборону ЛГБТК+ прайдів: у Будапешті відбулися протести"">
В Угорщині ухвалили закон про заборону ЛГБТК+ прайдів: у Будапешті відбулися протести
</h4>","<span class=""date date--mb date--size-3"">22:44, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Влада: на Харківщині через удар російського дрона по автівці загинула людина, є поранені "">
Влада: на Харківщині через удар російського дрона по автівці загинула людина, є поранені
</h4>","<span class=""date date--mb date--size-3"">22:27, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""У Ленінградській області РФ розбився військовий вертоліт Мі-28: екіпаж загинув"">
У Ленінградській області РФ розбився військовий вертоліт Мі-28: екіпаж загинув
</h4>","<span class=""date date--mb date--size-3"">22:14, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Зеленський відреагував на заяву Кремля після переговорів з США"">
Зеленський відреагував на заяву Кремля після переговорів з США
</h4>","<span class=""date date--mb date--size-3"">22:03, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""У Білій Церкві затримано шістьох осіб, причетних до стрілянини в ТРЦ – прокуратура"">
У Білій Церкві затримано шістьох осіб, причетних до стрілянини в ТРЦ – прокуратура
</h4>","<span class=""date date--mb date--size-3"">21:56, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Лідери Німеччини і Франції відреагували на переговори Трампа і Путіна "">
Лідери Німеччини і Франції відреагували на переговори Трампа і Путіна
</h4>","<span class=""date date--mb date--size-3"">21:43, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Чубаров: не вірю, що США визнають Крим російським "">
Чубаров: не вірю, що США визнають Крим російським 
</h4>","<span class=""date date--mb date--size-3"">21:30, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Політики ЄС наполягають на підтримці Радіо Свобода після скорочення фінансування Трампом"">
Політики ЄС наполягають на підтримці Радіо Свобода після скорочення фінансування Трампом
</h4>","<span class=""date date--mb date--size-3"">21:07, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Трамп назвав розмову з Путіним «дуже хорошою і продуктивною»"">
Трамп назвав розмову з Путіним «дуже хорошою і продуктивною»
</h4>","<span class=""date date--mb date--size-3"">21:05, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Оточення на Курщині не було і немає – Костенко "">
Оточення на Курщині не було і немає – Костенко
</h4>","<span class=""date date--mb date--size-3"">20:45, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Чоловіки за кордоном віком від 18 до 60 років зможуть стати на військовий облік дистанційно – Верещук "">
Чоловіки за кордоном віком від 18 до 60 років зможуть стати на військовий облік дистанційно – Верещук
</h4>","<span class=""date date--mb date--size-3"">20:35, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""У Генштабі ЗСУ заперечують інформацію про просування сил РФ вглиб Сумщини"">
У Генштабі ЗСУ заперечують інформацію про просування сил РФ вглиб Сумщини
</h4>","<span class=""date date--mb date--size-3"">20:13, 18 березня 2025</span>",,
"<h4 class=""media-block__title media-block__title--size-3"" title=""Трамп і Путін обговорили заборону на удари по енергоінфраструктурі та покращення відносин між США і РФ"">
Трамп і Путін обговорили заборону на удари по енергоінфраструктурі та покращення відносин між США і РФ
</h4>","<span class=""date date--mb date--size-3"">19:51, 18 березня 2025</span>",,
