Title,date,img_url,url
"
Зеленський підтвердив інформацію щодо обміну полоненими з РФ, про який заявив Кремль
","23:06, 18 березня 2025",https://gdb.rferl.org/40c0086c-1785-4a9c-49a9-08dd4a80b3ca_w100_r1.jpg,/a/33352018.html
"
В Угорщині ухвалили закон про заборону ЛГБТК+ прайдів: у Будапешті відбулися протести
","22:44, 18 березня 2025",https://gdb.rferl.org/89285e91-969a-44ef-933e-08dd5c87a9a5_w100_r1.jpg,/a/news-uhorshchyna-zaborona-lhbt-parad/33352008.html
"
Влада: на Харківщині через удар російського дрона по автівці загинула людина, є поранені
","22:27, 18 березня 2025",https://gdb.rferl.org/f10ad45b-7d59-46fc-f6ac-08dd5c87a9b6_cx0_cy4_cw0_w100_r1.jpg,/a/news-ova-ataka-drona-kharkivshchyna-zhertvy/33352005.html
"
У Ленінградській області РФ розбився військовий вертоліт Мі-28: екіпаж загинув
","22:14, 18 березня 2025",https://gdb.rferl.org/493366A1-2417-4C5C-A4A8-A98A4B457C8A_w100_r1.jpg,/a/news-mi-28-vertolit-rosiya-rozbyvsya/33352002.html
"
Зеленський відреагував на заяву Кремля після переговорів з США
","22:03, 18 березня 2025",https://gdb.rferl.org/548babc1-ffd0-42ab-b88b-08dd4a80fec4_w100_r1.jpg,/a/news-zelenskyy-perehovory-kreml/33351995.html
"
У Білій Церкві затримано шістьох осіб, причетних до стрілянини в ТРЦ – прокуратура
","21:56, 18 березня 2025",https://gdb.rferl.org/5890B80A-CAC2-42CD-961D-37A047CBE086_w100_r1.jpg,/a/news-bila-tserkva-zatrymannya-strilyanyna-trts/33351989.html
"
Лідери Німеччини і Франції відреагували на переговори Трампа і Путіна
","21:43, 18 березня 2025",https://gdb.rferl.org/755ebac5-304f-4097-b6e7-1d3ac1c5f0d6_w100_r1.jpg,/a/news-makron-sholts-reaktsiya-rozmova-tramp-putin/33351982.html
"
Чубаров: не вірю, що США визнають Крим російським 
","21:30, 18 березня 2025",https://gdb.rferl.org/DD26AA8A-741A-4C35-9A44-22D8057C4433_w100_r1.jpg,/a/news-chubarov-rosiya-vyznannya-krym-ssha/33351977.html
"
Політики ЄС наполягають на підтримці Радіо Свобода після скорочення фінансування Трампом
","21:07, 18 березня 2025",https://gdb.rferl.org/bbea5ed6-5346-443b-96f7-a83b4fdb6a98_w100_r1.jpg,/a/news-radio-svoboda-zakryttya-finansuvannya/33351965.html
"
Трамп назвав розмову з Путіним «дуже хорошою і продуктивною»
","21:05, 18 березня 2025",https://gdb.rferl.org/32194cb5-6e26-4729-a374-bc52e771c3db_w100_r1.jpg,/a/news-tramp-putin-rozmova/33351964.html
"
Оточення на Курщині не було і немає – Костенко
","20:45, 18 березня 2025",https://gdb.rferl.org/1c0b4005-fde1-458a-89ba-5f7a7d2fa3c9_w100_r1.jpg,/a/news-kurshchyna-otochennya-kostenko/33351958.html
"
Чоловіки за кордоном віком від 18 до 60 років зможуть стати на військовий облік дистанційно – Верещук
","20:35, 18 березня 2025",https://gdb.rferl.org/01000000-0aff-0242-df92-08dbb699c208_w100_r1.jpg,/a/news-vereshchuk-viyskovyy-oblik-za-kordonom/33351948.html
"
У Генштабі ЗСУ заперечують інформацію про просування сил РФ вглиб Сумщини
","20:13, 18 березня 2025",https://gdb.rferl.org/01000000-c0a8-0242-d528-08dcbdc902ed_w100_r1.jpg,/a/news-sumska-oblast-prosuvannya-rf-henshtab/33351939.html
"
Трамп і Путін обговорили заборону на удари по енергоінфраструктурі та покращення відносин між США і РФ
","19:51, 18 березня 2025",https://gdb.rferl.org/6DFAD273-AE86-43BA-9968-A0ADE5663D98_w100_r1.jpg,/a/news-putin-tramp-rozmova-pidsumky/33351931.html
"
На Оріхівському напрямку немає втрат позицій ЗСУ, але тривають важкі бої – Сили оборони півдня 
","19:44, 18 березня 2025",https://gdb.rferl.org/3b693f3d-a40b-4fb0-b750-43e808c3b082_cx0_cy7_cw0_w100_r1.jpg,/a/news-orikhivskyy-napryamok-voloshyn-sytuatsiya/33351927.html
"
Бундестаг схвалив масштабний фінансовий пакет для оборони та інфраструктури Німеччини
","19:03, 18 березня 2025",https://gdb.rferl.org/5b434cb0-2268-48e1-a6c6-c1b75d304602_w100_r1.jpg,/a/news-nimechchyna-bundestah-holosuvannya/33351901.html
"
Генштаб: на фронті зменшилася кількість боїв, найбільше – залишається на Покровському напрямку
","18:23, 18 березня 2025",https://gdb.rferl.org/a45b85b6-6071-4036-9f55-402b04d1b919_cx0_cy9_cw0_w100_r1.jpg,/a/news-henshtab-sytuatsiya-front/33351866.html
"
Трамп і Путін більше двох годин говорили про припинення вогню в Україні – медіа
","17:53, 18 березня 2025",https://gdb.rferl.org/92323843-D31B-46F3-9D35-EB2ED9B71C97_w100_r1.jpg,/a/news-tramp-putin-telefonna-rozmova/33351843.html
"
62 мільйони євро на місцеве самоврядування: стартувала ІІІ фаза програми «U-LEAD з Європою»
","17:45, 18 березня 2025",https://gdb.rferl.org/297cc362-0bce-4dab-9341-08dd5c87a9a5_w100_r1.png,/a/news-mistseve-samovryaduvannya-prohrama-u-lead/33351792.html
"
Зеленський прибув до Фінляндії з офіційним візитом
","17:25, 18 березня 2025",https://gdb.rferl.org/01000000-0aff-0242-0434-08dc53eced43_w100_r1.jpg,/a/news-zelenskyy-vizyt-finlyandiya/33351820.html
"
Рахункова палата України провела аудит допомоги від США на 30 млрд доларів. Порушень не виявлено
","17:08, 18 березня 2025",https://gdb.rferl.org/08550000-0a00-0242-fbbc-08dafafae7ee_w100_r1.jpg,/a/news-rakhunkova-palata-dopomoha-ssha/33351802.html
